1E-02 29   0.7   0.289734   0.010266       0.501       1.0       1.5       1.0
1E-02 30   0.7   0.288912   0.011088       0.749       1.5       1.5       1.0
1E-02 31   0.7   0.288419   0.011581       0.898       1.8       1.5       1.0
1E-02 32   0.7   0.288090   0.011910       0.997       2.0       1.5       1.0
1E-02 33   0.7   0.287761   0.012239       1.096       2.2       1.5       1.0
1E-02 34   0.7   0.283157   0.016843       2.484       5.0       1.5       1.0
1E-02 35   0.7   0.274937   0.025063       4.962      10.0       1.5       1.0
1E-02 36   0.8   0.189734   0.010266       0.501       1.0       1.5       1.0
1E-02 37   0.8   0.188912   0.011088       0.749       1.5       1.5       1.0
1E-02 38   0.8   0.188419   0.011581       0.898       1.8       1.5       1.0
1E-02 39   0.8   0.188090   0.011910       0.997       2.0       1.5       1.0
1E-02 40   0.8   0.187761   0.012239       1.096       2.2       1.5       1.0
1E-02 41   0.8   0.183157   0.016843       2.484       5.0       1.5       1.0
1E-02 42   0.8   0.174937   0.025063       4.962      10.0       1.5       1.0
1E-02 43   0.5   0.488935   0.011065       0.501       1.0       3.0       1.0
1E-02 44   0.5   0.488113   0.011887       0.749       1.5       3.0       1.0
1E-02 45   0.5   0.487620   0.012380       0.898       1.8       3.0       1.0
1E-02 46   0.5   0.487291   0.012709       0.997       2.0       3.0       1.0
1E-02 47   0.5   0.486962   0.013038       1.096       2.2       3.0       1.0
1E-02 48   0.5   0.482359   0.017641       2.484       5.0       3.0       1.0
1E-02 49   0.5   0.474139   0.025861       4.962      10.0       3.0       1.0
1E-02 50   0.7   0.288935   0.011065       0.501       1.0       3.0       1.0
1E-02 51   0.7   0.288113   0.011887       0.749       1.5       3.0       1.0
1E-02 52   0.7   0.287620   0.012380       0.898       1.8       3.0       1.0
1E-02 53   0.7   0.287291   0.012709       0.997       2.0       3.0       1.0
1E-02 54   0.7   0.286962   0.013038       1.096       2.2       3.0       1.0
1E-02 55   0.7   0.282359   0.017641       2.484       5.0       3.0       1.0
1E-02 56   0.7   0.274139   0.025861       4.962      10.0       3.0       1.0
1E-02 57   0.8   0.188935   0.011065       0.501       1.0       3.0       1.0
1E-02 58   0.8   0.188113   0.011887       0.749       1.5       3.0       1.0
1E-02 59   0.8   0.187620   0.012380       0.898       1.8       3.0       1.0
1E-02 60   0.8   0.187291   0.012709       0.997       2.0       3.0       1.0
1E-02 61   0.8   0.186962   0.013038       1.096       2.2       3.0       1.0
1E-02 62   0.8   0.182359   0.017641       2.484       5.0       3.0       1.0
1E-02 63   0.8   0.174139   0.025861       4.962      10.0       3.0       1.0
8E-03  1   0.5   0.492000   0.008000       0.501       1.0       1.0       1.0
8E-03  2   0.5   0.490948   0.009052       0.898       1.8       1.0       1.0
8E-03  3   0.5   0.490685   0.009315       0.997       2.0       1.0       1.0
8E-03  4   0.5   0.490422   0.009578       1.096       2.2       1.0       1.0
8E-03  5   0.5   0.486739   0.013261       2.484       5.0       1.0       1.0
8E-03  6   0.5   0.480163   0.019837       4.962      10.0       1.0       1.0
8E-03  7   0.5   0.467010   0.032990       9.918      20.0       1.0       1.0
8E-03  8   0.7   0.292000   0.008000       0.501       1.0       1.0       1.0
8E-03  9   0.7   0.290948   0.009052       0.898       1.8       1.0       1.0
8E-03 10   0.7   0.290685   0.009315       0.997       2.0       1.0       1.0
8E-03 11   0.7   0.290422   0.009578       1.096       2.2       1.0       1.0
8E-03 12   0.7   0.286739   0.013261       2.484       5.0       1.0       1.0
8E-03 13   0.7   0.280163   0.019837       4.962      10.0       1.0       1.0
8E-03 14   0.7   0.267010   0.032990       9.918      20.0       1.0       1.0
8E-03 15   0.8   0.192000   0.008000       0.501       1.0       1.0       1.0
8E-03 16   0.8   0.190948   0.009052       0.898       1.8       1.0       1.0
8E-03 17   0.8   0.190685   0.009315       0.997       2.0       1.0       1.0
8E-03 18   0.8   0.190422   0.009578       1.096       2.2       1.0       1.0
8E-03 19   0.8   0.186739   0.013261       2.484       5.0       1.0       1.0
8E-03 20   0.8   0.180163   0.019837       4.962      10.0       1.0       1.0
8E-03 21   0.8   0.167010   0.032990       9.918      20.0       1.0       1.0
8E-03 22   0.5   0.491574   0.008426       0.501       1.0       2.0       1.0
8E-03 23   0.5   0.490522   0.009478       0.898       1.8       2.0       1.0
8E-03 24   0.5   0.490259   0.009741       0.997       2.0       2.0       1.0
8E-03 25   0.5   0.489996   0.010004       1.096       2.2       2.0       1.0
8E-03 26   0.5   0.486313   0.013687       2.484       5.0       2.0       1.0
8E-03 27   0.5   0.479737   0.020263       4.962      10.0       2.0       1.0
